"","as.numeric(DOY)","meanSR1","meanSR2","meanSR3","meanSR4","meanST1","meanST2","meanST3","meanST4","meanSM1","meanSM2","meanSM3","meanSM4"
"220",222,1.29529411764706,2.63375,2.72913043478261,1.98375,29.6325,28.9691666666667,28.6172727272727,29.3558333333333,0.116286671291667,0.12307630775,0.130061068636364,0.125898204791667
"221",223,1.21866666666667,3.05136363636364,3.50791666666667,2.22083333333333,27.6666666666667,27.5125,28.22,28.7716666666667,0.184525370125,0.188954097,0.175298603842105,0.170795092166667
"222",224,1.82357142857143,3.16791666666667,3.53166666666667,2.3225,29.64,28.4633333333333,29.59,29.235,0.163808545833333,0.169562698625,0.17262701045,0.160640391958333
"223",225,1.19666666666667,1.45791666666667,1.91521739130435,1.17863636363636,25.9375,25.2933333333333,25.645,25.3216666666667,0.196414418833333,0.203240148541667,0.2158841352,0.185871288541667
"224",226,1.39615384615385,2.72916666666667,2.75,1.86916666666667,27.18,25.9266666666667,26.67,25.8391666666667,0.169822583166667,0.183356571291667,0.194362234090909,0.166286978
"225",227,1.59666666666667,3.13333333333333,3.14208333333333,2.22875,28.2841666666667,27.1616666666667,27.4790476190476,27.935,0.151412845291667,0.170102194125,0.182941991714286,0.159089175
"226",228,1.7,3.21909090909091,3.19904761904762,2.33545454545455,27.3645454545455,26.6990909090909,28.24,27.6609090909091,0.12686636,0.152468446681818,0.169760392,0.148129821727273
"227",229,1.52818181818182,3.41708333333333,3.53541666666667,2.57208333333333,29.1308333333333,29.2508333333333,31.2944444444444,30.085,0.103422162791667,0.133412186916667,0.156670386777778,0.137546655875
"228",230,1.686,3.43625,3.58875,2.68958333333333,29.7183333333333,29.7225,30.347,30.3491666666667,0.085809817375,0.115207873333333,0.1415581306,0.12265253525
"229",231,1.63,3.22541666666667,3.40541666666667,2.5325,28.8858333333333,27.9475,28.419,28.4441666666667,0.0766753720833333,0.101400231166667,0.1289656988,0.111031923875
"230",232,1.35142857142857,2.88375,3.21166666666667,2.44666666666667,27.275,27.1325,27.3666666666667,27.82,0.0752892687083333,0.09904643525,0.123531157666667,0.108909809541667
"231",233,1.42875,2.85291666666667,3.22916666666667,2.46666666666667,29.2408333333333,28.3708333333333,30.7270588235294,29.3966666666667,0.0732360239583333,0.0963092025833333,0.120560139176471,0.10561725275
"232",234,1.54181818181818,3.02391304347826,3.3025,2.62416666666667,31.9866666666667,30.8358333333333,30.7390476190476,31.6983333333333,0.0704489675,0.0907636264583333,0.109788319333333,0.0997327885
"233",235,2.04625,2.68291666666667,2.97041666666667,2.16083333333333,27.9641666666667,26.6158333333333,28.1477777777778,27.7866666666667,0.0675716900416667,0.082873731,0.101138726777778,0.092770659
"234",236,1.96277777777778,2.94304347826087,3.01608695652174,2.41434782608696,26.2973913043478,25.7330434782609,27.32,27.1895652173913,0.104972241956522,0.108170171173913,0.117072914277778,0.105595313695652
