date,meanAT2,meanAT6,sum_R,rain_events,meanRH2,meanRH6,meanSWC5,meanSWC15,meanSWC30,meanST5,meanST15,meanST30,meanNEE,meanGPP,meanRECO,sdReco,pulseduration_S,pulseduration_M,pulseduration_L,max_pulse_duration,rain_event,days_since_rain_event
2013-04-11,12.6364375,13.027729166666667,0,0,30.734116107291666,27.752712832916668,5.791666666666667,10.875,10.743541666666667,18.014583333333334,19.28333333333333,18.0875,0.014959067975416669,0.27936032440125,0.29431939238125,0.11111686872063058,0,0,0,0,0,34
2013-04-12,15.842708333333334,16.209375,0,0,20.908212581666668,18.70542975625,5.625,11.041666666666666,10.792708333333334,19.058333333333334,20.31458333333333,18.810416666666665,0.03850962029145834,0.30059768956875,0.3391073098583333,0.11518125159731951,0,0,0,0,0,35
2013-04-13,16.468333333333334,16.845208333333332,0,0,21.170265911041668,18.86817323125,5.729166666666667,11.104166666666666,10.744375,20.372916666666665,21.295833333333334,19.15,0.021214391162083332,0.294837086549375,0.31605147770208336,0.07707503208918139,0,0,0,0,0,36
2013-04-14,16.463333333333335,16.467916666666667,0,0,28.653513239166667,26.49995960625,5.666666666666667,11.145833333333334,10.775625,21.2125,22.164583333333333,19.879166666666666,-0.004552755779916665,0.3005600072633333,0.29600725148125,0.07748155943173612,0,0,0,0,0,37
2013-04-15,17.108333333333334,16.977708333333332,0,0,30.493870107916667,28.528953972291667,5.627906976744186,11.186046511627907,10.77375,22.311627906976746,22.781395348837208,20.31860465116279,0.042909314760875,0.25769692723285414,0.300606242,0.0839628213195988,0,0,0,0,0,38
2013-04-16,17.444375,17.286458333333332,0,0,28.997809967208333,26.923671519541667,5.5,11.145833333333334,10.676875,21.979166666666668,22.702083333333334,20.7,0.1278889506775,0.18854815039904166,0.31643710107708334,0.0726512849944104,0,0,0,0,0,39
2013-04-17,11.9583125,11.847625,0,0,36.46073047729167,34.44551714791667,5.166666666666667,10.854166666666666,10.668333333333333,20.258333333333333,22.077083333333334,20.79375,0.014538582670916667,0.19944097083229168,0.21397955350416667,0.05961936349284267,0,0,0,0,0,40
2013-04-18,9.331541666666666,9.6845625,0,0,18.072565623729165,16.053217411958332,4.895833333333333,10.520833333333334,10.696666666666667,18.527083333333334,20.58125,19.952083333333334,-0.06317720654083334,0.23785710631791668,0.174679899784375,0.05317810417091893,0,0,0,0,0,41
2013-04-19,13.259125000000001,13.453791666666667,0,0,11.335586727291666,9.9747278660625,4.9375,10.5,10.449375,19.86875,20.95,19.683333333333334,0.19639637949775,0.115317077565875,0.3117134570645833,0.15159964626807554,0,0,0,0,0,42
2013-04-20,15.605208333333334,16.173541666666665,0,0,11.6682566340625,10.108618840291667,4.9375,10.604166666666666,10.486875,20.81875,21.908333333333335,19.9375,0.09470271117711458,0.15998803001070833,0.2546907411875,0.07824579045963168,0,0,0,0,0,43
2013-04-21,19.020833333333332,19.578333333333333,0,0,12.887499856270834,11.009285225708334,4.979166666666667,10.75,10.44625,22.5,23.177083333333332,20.53125,0.29591343174270834,0.058860465438125,0.35477389718333335,0.2061565286253169,0,0,0,0,0,44
2013-04-22,20.065625,20.632916666666667,0,0,12.360934480520832,10.574185230625,4.958333333333333,10.770833333333334,10.532083333333333,23.614583333333332,24.26875,21.3125,0.23671724886979167,0.06719547499645834,0.3039127238666667,0.16998143979222258,0,0,0,0,0,45
2013-04-23,19.120625,19.581041666666668,0,0,14.381688034375,12.653576943854166,4.895833333333333,10.625,10.467083333333333,23.2,24.322916666666668,21.820833333333333,0.102803830185625,0.11955293713833333,0.22235676732291668,0.09297511903233098,0,0,0,0,0,46
2013-04-24,20.101458333333333,20.399583333333332,0,0,15.363211318083334,13.636504344145834,4.916666666666667,10.541666666666666,10.530833333333334,24.2,24.660416666666666,21.985416666666666,0.3270906740145833,0.023969296550145833,0.35105997056666666,0.2897405667839601,0,0,0,0,0,47
2013-04-25,18.989166666666666,18.913333333333334,0,0,17.085443105791665,15.715301572416667,4.875,10.583333333333334,10.655625,24.65625,25.383333333333333,22.666666666666668,0.17156068436291666,0.08117809688970833,0.25273878125,0.14044359493068195,0,0,0,0,0,48
2013-04-26,17.498125,17.8475,0,0,17.1522875604375,15.312029825166666,4.75,10.395833333333334,10.615,23.847916666666666,24.614583333333332,22.489583333333332,0.148800409181875,0.14598688240645835,0.294787291601875,0.3038877053430572,0,0,0,0,0,49
