"PA","AT2","RH2","AT6","RH6","SWC5","SWC15","SWC30","ST5","ST15","ST30","NEE","RECO"
84.51365,32.15,16.82560772,31.9,16.1088721,9,9,10,30.1,31.7,31.5,0.549480018,0.549480018
84.51359,32.78,16.01342381,32.8,14.96561812,9,9,10,30.6,31.6,31.4,0.4295626747,0.4295626747
84.5078,33.35,15.41189349,33.47,14.2649208,9,9,9,31.4,31.6,31.3,0.3776087944,0.4421518699
84.49235,34.49,14.56007245,33.94,13.95973452,9,9,10,32.4,31.6,31.2,0.4760476266,0.4760476266
84.47505,35.33,14.0189666,35.03,13.38413384,10,9,9,33.5,31.7,31.1,0.6474361818,0.6474361818
84.45502,36.26,13.03598429,35.99,12.62403946,10,9,10,35,31.9,31.1,0.4177905867,0.4961839739
84.42368,36.62,12.35347387,36.13,12.13247712,10,9,10,36.4,32.2,31,1.313212322,1.313212322
84.39766,35.84,12.40277071,35.61,12.10036714,10,9,9,37.9,32.5,30.9,0.2762360351,0.503063232
84.3565,36.92,11.55032429,36.44,11.47549531,10,9,10,38.9,33,30.9,1.607083535,1.607083535
84.29951,36.8,11.47988749,36.83,11.20180156,10,9,10,39.9,33.4,30.9,0.5910357385,0.5910357385
84.26463,36.04,12.30257803,36.19,11.75261653,10,9,10,40.5,33.8,30.9,0.3108195393,0.5311343229
84.27235,34.67,14.11849431,35.2,12.88098111,10,10,10,40.6,34.3,30.9,0.3690659033,0.521982321
84.38957,26.34,37.90581449,28.82,25.56310059,10,10,10,40.3,34.5,30.9,0.1484373533,0.4285392063
84.45333,24.81,43.96903111,26.57,34.84850361,10,10,9,39.2,34.7,30.9,0.1668651064,0.3993342316
84.29659,29.6,23.47563454,30.77,19.4279014,10,10,9,37.4,34.6,30.9,0.1910522644,0.469674686
84.25884,32.69,16.74617945,33.4,13.76765467,10,10,10,35.8,34.3,31,2.647971407,2.647971407
84.21777,33.11,19.74885133,33.29,17.13881559,10,10,10,35,33.9,31.1,0.993326917,0.993326917
84.19138,32.45,18.89422684,32.76,16.93705389,10,10,9,34.7,33.6,31.1,0.4389165906,0.5195620057
84.17773,32.51,17.8502298,32.83,15.7154755,10,9,10,34.3,33.3,31.2,-6.946154825,0.5268092471
84.17945,32.46,17.79994525,33.02,15.4153691,10,9,10,33.8,33,31.2,-6.941809872,0.5361624122
84.19972,31,20.10613122,31.71,17.94196133,9,9,10,33.2,32.8,31.3,0.2022726802,0.5197434153
84.22589,30.25,21.28903271,31.05,19.07576515,9,9,10,32.4,32.5,31.3,0.156063356,0.5142456685
84.27126,29.39,23.06364905,30.3,20.51610077,9,9,10,31.6,32.2,31.3,-1.542514619,0.5070047295
84.30679,28.76,25.3603818,29.89,22.05667133,9,9,10,31,31.9,31.3,2.78368896,2.78368896
84.29374,27.94,27.42548094,29.07,24.16657641,9,9,9,30.3,31.5,31.3,4.25695275,4.25695275
84.28334,26.45,32.79923321,27.65,28.70625303,9,9,10,29.7,31.2,31.2,2.761247985,2.761247985
84.30546,25.3,36.97879594,26.49,32.36642179,9,9,10,29.1,30.9,31.2,2.494115044,2.494115044
84.35262,25.31,36.41702871,26.48,32.06456328,9,9,10,28.5,30.7,31.2,1.832401018,1.832401018
84.38647,25.34,36.49739964,26.9,30.52153895,9,9,9,28.1,30.4,31.1,0.4792865621,0.4792865621
84.38385,25.71,34.63271793,26.98,30.2388879,9,9,9,27.7,30.1,31.1,1.663873378,1.663873378
84.38813,25.44,34.90262872,27.12,29.05251299,9,9,9,27.4,29.9,31,0.4935804171,0.4935804171
84.37934,25.24,34.7213293,27.33,27.91264388,9,9,10,27.1,29.6,30.9,0.5026717598,0.5026717598
84.38296,25.21,33.87852231,26.88,28.7057764,9,9,10,26.8,29.4,30.9,0.4994480589,0.4994480589
84.3904,24.69,33.93688839,26.23,29.1648539,9,9,9,26.5,29.2,30.8,0.4923299614,0.4923299614
84.36856,25.33,31.2705545,26.79,27.41880136,9,9,9,26.1,29,30.7,0.5080371344,0.5080371344
84.35709,25.83,29.77728148,27.01,26.65972247,9,9,9,25.8,28.8,30.6,1.017720125,1.017720125
84.36491,25.15,34.13914618,26.44,29.95211596,9,9,10,25.5,28.6,30.5,0.5115224181,0.5115224181
84.37022,24.6,38.41062142,25.85,34.2034974,9,9,10,25.2,28.4,30.5,0.5050671535,0.5050671535
84.37294,24.32,42.80317408,25.52,38.72093961,9,9,10,25,28.2,30.3,0.4047363504,0.5035569639
84.36758,23.61,46.2504855,25.31,39.56332573,9,9,9,24.8,28,30.3,0.5043171756,0.5043171756
84.35268,22.99,46.7790599,24.79,40.07719189,9,9,9,24.7,27.8,30.2,0.4988453583,0.4988453583
84.36938,23.15,43.37968127,24.5,38.95097494,9,9,9,24.6,27.7,30.1,0.4978247212,0.4978247212
84.38676,23.23,44.08215014,24.67,39.33144663,9,9,9,24.5,27.6,30,1.210439769,1.210439769
